student_id,age,gender,socioeconomic_level,avg_grade,avg_attendance,current_semester,total_enrollments,failed_courses,completed_courses,total_interactions,unique_sessions_count,total_duration_hours,days_since_last_interaction,engagement_score,scholarship_percentage,overdue_payments,pending_payments,outstanding_amount,dropout,success_rate,failure_rate,interaction_per_enrollment
STU0001,23,M,2,5.589949557852055,65.39931742959448,4,18,0,17,52,16,31.661266008889672,0.9909367635299131,63.430633004444836,50,0,0,0.0,0,94.44444444444444,0.0,2.888888888888889
STU0002,21,M,1,6.816925538419209,95.1070000470974,2,9,1,7,45,20,5.6606549343890595,3.9523503237651516,56.33032746719453,50,0,0,0.0,0,77.77777777777779,11.11111111111111,5.0
STU0003,23,F,2,8.300118434640291,85.04217444539343,4,15,1,14,29,10,20.816583966173205,9.007053924303865,39.1082919830866,50,1,1,2813.1224106768186,0,93.33333333333333,6.666666666666667,1.9333333333333333
STU0004,26,F,3,5.762146328740692,76.58785610069889,3,14,1,11,45,17,15.862358407727537,1.8028755275841597,55.43117920386377,0,1,0,1856.3154704101892,0,78.57142857142857,7.142857142857142,3.2142857142857144
STU0005,21,M,4,3.685170940937189,67.64096769542,5,19,0,18,56,13,14.993683291913896,8.938384140382091,50.296841645956945,25,0,0,0.0,0,94.73684210526315,0.0,2.9473684210526314
STU0006,21,F,3,7.429567168949204,69.21335822826221,2,8,0,6,50,15,53.57795166050484,7.676833077996413,71.78897583025241,50,0,2,3754.034682896326,0,75.0,0.0,6.25
STU0007,26,M,3,5.546956416761556,100.0,3,12,0,11,53,13,15.1111336474603,0.10990310698867585,49.45556682373015,0,1,1,2036.155704615164,1,91.66666666666666,0.0,4.416666666666667
STU0008,24,F,2,4.715500011364458,80.01024228436223,3,12,0,12,59,15,25.911291677716303,1.3685987649335618,60.655645838858156,25,0,0,0.0,0,100.0,0.0,4.916666666666667
STU0009,20,F,5,5.563481915430164,91.73195002297189,2,10,0,8,60,12,23.737112289611257,3.9147293466390556,53.86855614480563,75,1,0,1047.4678107031202,0,80.0,0.0,6.0
STU0010,23,F,3,6.223211963516226,68.13650927498671,1,4,0,3,48,13,33.30270133905992,6.322461419107809,57.05135066952996,25,1,0,1112.9122098795558,0,75.0,0.0,12.0
STU0011,20,F,1,5.592883003192681,68.30220580667542,1,5,3,1,55,11,4.325842251661818,10.623471925178498,40.662921125830906,50,1,0,888.7897237814979,0,20.0,60.0,11.0
STU0012,20,F,4,3.1916509143513965,96.22977213874913,1,5,0,4,62,8,45.20976328316031,5.122753878127933,57.204881641580144,0,4,2,9287.442104802947,0,80.0,0.0,12.4
STU0013,22,M,2,7.8455992953306986,59.756356826727014,5,22,0,21,42,16,78.81893473943731,2.3929553499747076,84.00946736971866,75,1,0,1637.2746654052505,0,95.45454545454545,0.0,1.9090909090909092
STU0014,18,F,3,8.412312561918084,73.77179348142093,1,3,0,3,47,15,49.12596321427384,1.0205492763870365,68.66298160713691,25,0,0,0.0,0,100.0,0.0,15.666666666666666
STU0015,18,M,3,7.477282987009259,80.51041116608349,1,2,2,0,48,9,9.005511424872424,7.13632882280617,36.90275571243621,100,1,0,1011.9343750399506,0,0.0,100.0,24.0
STU0016,20,F,5,4.793471494362775,81.67058902760078,4,15,0,14,54,15,46.495168538419875,1.1582831707500263,69.44758426920994,100,0,1,1646.9403365416922,0,93.33333333333333,0.0,3.6
STU0017,18,F,3,6.197762699078723,77.31360072475765,2,7,0,7,57,16,28.97482033304891,5.944280226707561,63.58741016652445,100,0,0,0.0,0,100.0,0.0,8.142857142857142
STU0018,22,F,4,6.490218027155813,85.93729671643885,3,11,1,9,53,18,14.101560992630349,0.9996480679243502,58.950780496315176,0,0,0,0.0,0,81.81818181818183,9.090909090909092,4.818181818181818
STU0019,19,M,5,7.398191584342865,90.39283633726717,1,3,0,1,50,11,39.86062871830259,0.47734713912014287,56.930314359151296,25,0,0,0.0,0,33.33333333333333,0.0,16.666666666666668
STU0020,18,F,2,7.502510733077122,91.01956318188995,6,22,0,20,59,13,24.766609786397588,1.4457505722017636,56.0833048931988,100,0,0,0.0,0,90.9090909090909,0.0,2.6818181818181817
STU0021,26,F,2,5.398739301832256,65.2129428699826,5,20,1,18,46,24,18.09493226894071,1.6768728350807038,70.84746613447035,75,0,2,3221.1820900236144,0,90.0,5.0,2.3
STU0022,21,F,3,6.6229933346203405,75.73767353106804,5,19,0,19,48,12,11.807051497464563,5.209399233050858,44.303525748732284,100,0,2,3328.8332648769924,1,100.0,0.0,2.526315789473684
STU0023,22,M,3,7.185920606922862,97.92144292815406,2,9,1,8,51,18,9.49319546618734,0.8770278437905789,56.04659773309367,50,0,0,0.0,0,88.88888888888889,11.11111111111111,5.666666666666667
STU0024,18,M,3,8.68373348322015,93.41970781360808,4,18,2,16,53,8,20.693756130885433,13.318270740779358,42.246878065442715,25,0,0,0.0,0,88.88888888888889,11.11111111111111,2.9444444444444446
STU0025,20,M,5,7.556759809737084,59.40710822778404,1,6,0,5,56,19,13.333936216236065,4.041238059445458,61.46696810811803,0,1,0,1292.5050684680377,1,83.33333333333334,0.0,9.333333333333334
STU0026,22,M,4,7.683585031063278,85.27219850528303,1,5,1,3,55,16,24.75056327443948,3.375865736463854,60.87528163721974,75,0,1,560.9001528808994,1,60.0,20.0,11.0
STU0027,18,F,4,6.625739941894041,50.326621259377845,1,3,2,0,42,5,40.046824703064765,2.851945056559158,42.62341235153238,50,0,0,0.0,0,0.0,66.66666666666666,14.0
STU0028,23,M,3,8.615688717805256,80.70402353090554,3,10,0,10,50,20,16.579243553868196,4.180486488765844,63.2896217769341,0,0,0,0.0,0,100.0,0.0,5.0
STU0029,20,F,4,7.114644193939246,100.0,2,8,0,7,56,17,10.988636195816945,0.11351367525676366,56.29431809790847,0,0,0,0.0,0,87.5,0.0,7.0
STU0030,21,M,5,5.208368134739644,65.78160924096521,3,14,1,12,51,18,25.04890649949465,23.06922581469109,63.82445324974732,50,0,0,0.0,0,85.71428571428571,7.142857142857142,3.642857142857143
STU0031,20,M,4,8.605054955187786,67.48515431762627,1,4,2,1,51,16,12.764712598322845,4.076849517480953,53.68235629916142,50,0,1,1270.0080605396122,0,25.0,50.0,12.75
STU0032,27,F,1,7.546854908808541,91.4604467235929,2,6,1,5,44,13,26.25519736653773,0.17914636409833312,52.32759868326887,0,0,0,0.0,0,83.33333333333334,16.666666666666664,7.333333333333333
STU0033,21,F,4,5.835433968307276,56.85797727185531,4,18,0,18,47,21,5.468325316493241,4.457717490458226,58.83416265824662,0,1,0,1273.9830499562859,0,100.0,0.0,2.611111111111111
STU0034,18,M,1,5.780760548901135,70.50867455172441,2,8,2,4,42,16,30.859496801832265,2.8730777550910656,60.029748400916134,0,0,1,1391.4024590451318,1,50.0,25.0,5.25
STU0035,24,F,2,6.9448633177111425,88.9466170637263,4,14,1,13,43,17,28.733165510012157,0.12165658474285979,61.26658275500608,0,1,0,1036.5415438295095,0,92.85714285714286,7.142857142857142,3.0714285714285716
STU0036,18,F,1,7.194777192901377,70.48571228465896,1,4,0,3,55,11,16.962988824822492,12.913396938398815,46.981494412411244,100,0,0,0.0,1,75.0,0.0,13.75
STU0037,22,M,4,6.79593839844681,76.46045019183542,4,15,0,13,44,13,21.25928438357052,0.05311548952365067,49.82964219178526,50,0,0,0.0,1,86.66666666666667,0.0,2.933333333333333
STU0038,18,O,4,6.966963010164328,91.16278565472552,3,10,1,9,55,21,28.611635857056946,4.312229639710741,72.80581792852847,50,0,0,0.0,0,90.0,10.0,5.5
STU0039,18,F,2,9.049936061864571,86.32319125304842,1,4,0,4,49,14,47.289458448426196,16.323387919799078,66.3447292242131,75,1,1,3866.3347311712605,0,100.0,0.0,12.25
STU0040,22,F,3,8.107314728352328,84.00227594443103,1,3,0,3,63,13,7.3612137875376735,1.3564491255788287,48.58060689376884,25,0,0,0.0,0,100.0,0.0,21.0
STU0041,24,M,3,6.785953386897536,74.91316581094942,3,11,1,10,53,14,23.14166199375855,1.46634876748475,55.47083099687927,75,1,0,1764.082490064739,1,90.9090909090909,9.090909090909092,4.818181818181818
STU0042,22,F,3,7.911965871151225,85.55091672903433,4,14,0,13,47,20,4.554302096442075,0.0021160905215079377,56.37715104822104,100,0,1,1259.1577233610003,1,92.85714285714286,0.0,3.357142857142857
STU0043,21,M,2,4.951214144708691,78.14400979850365,2,9,0,9,41,17,7.028278177028435,0.343274492966735,49.81413908851422,50,1,0,1192.108450757775,0,100.0,0.0,4.555555555555555
STU0044,21,M,3,7.096890574920214,86.86708414888678,2,10,1,8,49,12,41.03403615925071,0.22963549405645572,59.21701807962536,25,0,0,0.0,0,80.0,10.0,4.9
STU0045,18,M,4,9.213959524599666,72.54601962323032,5,18,0,17,47,17,5.64411423509502,8.64832764696722,50.92205711754751,50,0,2,2341.9751233349098,0,94.44444444444444,0.0,2.611111111111111
STU0046,19,M,1,6.17293115691144,77.26146538430689,3,11,1,9,46,6,25.484717755997394,9.061981862492907,38.542358877998694,100,1,0,1925.6407244452062,1,81.81818181818183,9.090909090909092,4.181818181818182
STU0047,20,F,1,5.228549107071373,65.1506331117198,2,7,1,4,53,10,11.036801631686101,6.485927470389416,41.41840081584305,0,0,1,816.1814509315756,0,57.14285714285714,14.285714285714285,7.571428571428571
STU0048,25,F,3,5.521866667110409,79.47488584990646,2,6,0,5,52,11,4.86248085620802,2.175074773643589,40.03124042810401,0,0,1,768.5618576761435,0,83.33333333333334,0.0,8.666666666666666
STU0049,23,F,5,4.865550443986417,67.83498704556733,1,5,0,5,54,19,6.975732309020782,8.608959961004631,57.687866154510395,100,0,2,1725.6889121783438,0,100.0,0.0,10.8
STU0050,18,M,4,5.322857137808445,63.2893032475701,3,14,2,10,46,17,8.588396135621206,3.8801936810484365,52.0941980678106,100,0,0,0.0,0,71.42857142857143,14.285714285714285,3.2857142857142856
STU0051,22,M,4,5.944237852114957,83.87991721783082,2,8,1,7,66,27,35.08828410432302,1.814257587929971,91.34414205216152,25,1,0,1895.4497231499497,0,87.5,12.5,8.25
STU0052,20,M,3,4.391649471232037,83.1910966378649,6,22,0,21,56,20,8.639723343320071,2.8748368436094625,61.11986167166003,25,0,0,0.0,0,95.45454545454545,0.0,2.5454545454545454
STU0053,19,O,3,6.523427500924405,91.74310602422858,2,10,0,10,38,17,11.123485102897135,0.34015115612565566,50.961742551448566,0,1,1,1730.4474298174628,0,100.0,0.0,3.8
STU0054,23,M,1,7.853415760679971,73.53311645637352,2,10,1,7,54,21,12.909408903765428,14.49381614757707,64.65470445188272,25,1,1,2321.356945963786,0,70.0,10.0,5.4
STU0055,25,F,4,5.138365729779619,86.12079270255134,3,11,0,9,38,11,12.755208141884575,4.826307539507535,39.77760407094229,100,0,1,1085.6001976786185,0,81.81818181818183,0.0,3.4545454545454546
STU0056,24,F,5,8.778925885462654,88.26196358410495,5,20,0,20,38,24,38.06296341602947,6.56957352836633,78.43148170801473,0,1,1,1139.7084095873117,0,100.0,0.0,1.9
STU0057,19,M,4,7.266188132791392,86.67160711747393,4,14,0,14,48,14,2.925768679655363,5.644069560361662,43.86288433982768,25,0,0,0.0,0,100.0,0.0,3.4285714285714284
STU0058,21,F,5,8.045870878436086,67.61519475796787,2,7,0,7,62,19,34.3117509315278,5.509337674001564,73.75587546576389,100,0,0,0.0,0,100.0,0.0,8.857142857142858
STU0059,22,M,4,5.513248169221795,82.24045223406783,4,15,0,13,51,19,16.54283931113697,0.0870584653298129,61.571419655568484,25,2,0,3526.7321262516252,0,86.66666666666667,0.0,3.4
STU0060,24,F,2,7.7817878405999235,85.46210444081991,3,13,0,12,51,12,27.53703633559345,3.726112111204596,53.068518167796725,75,1,0,1323.444363943845,0,92.3076923076923,0.0,3.923076923076923
STU0061,20,F,5,4.8620991494070305,80.10767700361913,2,10,0,10,57,8,7.689495311758408,8.621725616301068,36.9447476558792,25,0,0,0.0,0,100.0,0.0,5.7
STU0062,21,M,1,7.835371251254763,48.70283512443373,1,2,0,1,46,14,9.543556831452534,0.22770122432466994,46.571778415726264,75,1,1,3868.1340621341233,0,50.0,0.0,23.0
STU0063,18,M,3,6.757759009690297,82.4073443596022,2,6,0,4,57,24,16.22945711167639,15.6366914774193,73.21472855583819,100,0,1,1914.7824361254147,0,66.66666666666666,0.0,9.5
STU0064,18,F,2,7.329876829977176,100.0,1,2,0,2,55,17,8.343623522879911,2.759624420809149,54.671811761439955,25,0,0,0.0,0,100.0,0.0,27.5
STU0065,24,F,1,4.736608091562722,74.59941096864526,5,19,0,19,42,9,6.744875576979529,1.7117156274247485,33.97243778848976,75,0,1,1917.2256073250105,0,100.0,0.0,2.210526315789474
STU0066,26,M,3,5.157395236585093,69.07884353217018,2,9,1,6,46,16,3.200842513938595,3.7945267500118374,47.400421256969295,100,1,0,1693.6208116842652,0,66.66666666666666,11.11111111111111,5.111111111111111
STU0067,21,F,2,7.395842327380077,85.60022839567097,6,24,1,23,55,20,9.406924168783918,8.07763677363069,61.20346208439196,100,0,1,1666.4871578911866,0,95.83333333333334,4.166666666666666,2.2916666666666665
STU0068,25,F,3,5.077477993663699,84.68567315699858,3,11,0,10,49,10,14.631219135903894,3.2194528808927285,42.01560956795195,25,1,1,1270.3856208045263,0,90.9090909090909,0.0,4.454545454545454
STU0069,23,F,3,7.194809438148685,97.89102748124623,3,12,0,10,48,10,14.234925403171898,5.179676071737055,41.51746270158595,25,1,0,769.2720534253987,0,83.33333333333334,0.0,4.0
STU0070,20,M,1,4.449293290309631,61.13197766136668,3,13,0,11,40,16,17.505970992267276,3.464879854754334,52.75298549613364,25,0,0,0.0,0,84.61538461538461,0.0,3.076923076923077
STU0071,23,F,2,7.772261319000002,90.97070378862489,1,6,0,6,53,15,22.306617648363076,4.98848365071319,57.053308824181535,25,0,0,0.0,0,100.0,0.0,8.833333333333334
STU0072,26,F,3,4.651215027847236,88.85633091877195,2,6,1,3,66,17,22.881531544199024,0.7426793672942431,65.24076577209951,25,0,0,0.0,0,50.0,16.666666666666664,11.0
STU0073,21,M,3,7.328449906519285,77.86780194589181,1,4,0,4,44,15,14.061721437429792,0.19715328407566818,50.2308607187149,0,0,0,0.0,0,100.0,0.0,11.0
STU0074,26,M,4,7.438446400469002,85.08030976882534,3,11,1,10,54,11,28.91622169881844,0.7361317420947415,52.658110849409226,50,1,1,3740.068592604671,0,90.9090909090909,9.090909090909092,4.909090909090909
STU0075,18,F,4,5.454842272355638,95.44186222397536,2,8,1,5,38,17,5.681956109387438,1.6832282709333501,48.24097805469372,25,1,0,1214.2901953348332,0,62.5,12.5,4.75
STU0076,24,M,4,7.37303985062709,93.08473070042676,4,18,1,17,65,10,30.863848926523943,1.460834320216028,54.93192446326197,75,0,0,0.0,0,94.44444444444444,5.555555555555555,3.611111111111111
STU0077,22,F,4,6.890663395000334,62.85471031889407,1,2,0,1,61,12,50.378196181928985,4.774837510544472,67.48909809096449,75,0,2,2003.016341245707,0,50.0,0.0,30.5
STU0078,21,M,3,5.6917372157108925,92.30237280133227,1,4,1,2,41,14,23.07831330608467,3.0430139416124984,51.83915665304233,25,0,0,0.0,0,50.0,25.0,10.25
